output_dir,output_filename,travel_cost,conquer_cost,cost
outputs-astar-15,0.out,16.0,51.0,67.0
outputs-astar-15,195.out,0,1000000000.0,1000000000.0
outputs-astar-15,2.out,40.0,1.0,41.0
outputs-astar-15,216.out,4.0,4.0,8.0
outputs-astar-15,217.out,4.0,4.0,8.0
outputs-astar-15,218.out,4.0,4.0,8.0
outputs-astar-15,251.out,12.0,23.0,35.0
outputs-astar-15,259.out,5605.0,5.0,5610.0
outputs-astar-15,270.out,15.0,20.0,35.0
outputs-astar-15,271.out,68.0,3.0,71.0
outputs-astar-15,272.out,41.0,20.0,61.0
outputs-astar-15,332.out,101.0,85.0,186.0
outputs-astar-15,336.out,0,1.0,1.0
outputs-astar-15,337.out,0,1.0,1.0
outputs-astar-15,338.out,0,1.0,1.0
outputs-astar-15,399.out,7.460000000000001,22.0,29.46
outputs-astar-15,401.out,4.0,50.0,54.0
outputs-astar-15,444.out,56.0,11.0,67.0
outputs-astar-15,446.out,20.0,5.0,25.0
outputs-astar-15,528.out,0,1.0,1.0
outputs-astar-15,529.out,0,1.0,1.0
outputs-astar-15,545.out,34.0,10.0,44.0
outputs-astar-15,591.out,6.0,300.0,306.0
outputs-astar-15,594.out,0,38.0,38.0
outputs-astar-15,596.out,0,91.0,91.0
outputs-astar-15,606.out,2002.0,6600.0,8602.0
outputs-astar-15,639.out,23.0,18.0,41.0
outputs-astar-15,640.out,19.0,18.0,37.0
outputs-astar-15,641.out,8.0,3.0,11.0
outputs-astar-15,677.out,2.87204,1.3498700000000001,4.22191
outputs-astar-15,68.out,18.0,14.0,32.0
outputs-astar-15,708.out,6.0,2.0,8.0
outputs-astar-15,709.out,16.0,4.0,20.0
outputs-astar-15,710.out,24.0,24.0,48.0
outputs-astar-15,719.out,16.0,300.0,316.0
outputs-astar-15,73.out,360.0,320.0,680.0
outputs-astar-15,74.out,28.0,20.0,48.0
