output_dir,output_filename,travel_cost,conquer_cost,cost
outputs-concorde,0.out,28.0,40.0,68.0
outputs-concorde,1.out,194.0,52.0,246.0
outputs-concorde,10.out,175.69000000000005,281.30999999999995,457.0
outputs-concorde,100.out,403864.0,27704.0,431568.0
outputs-concorde,105.out,11600859.6118,18005651.412,29606511.0238
outputs-concorde,106.out,25395921.141200002,35236173.3979,60632094.539100006
outputs-concorde,107.out,6445449.4986,6615766.106500001,13061215.6051
outputs-concorde,108.out,6936.751799999999,2278.12001,9214.871809999999
outputs-concorde,109.out,5922.621800000001,1758.5434799999998,7681.165280000001
outputs-concorde,11.out,105.88,102.88999999999999,208.76999999999998
outputs-concorde,110.out,4931.5356,1990.6956400000004,6922.231240000001
outputs-concorde,111.out,1046.0,518.0,1564.0
outputs-concorde,112.out,2112.0,1050.0,3162.0
outputs-concorde,113.out,513.0,252.0,765.0
outputs-concorde,114.out,456.0,580.0,1036.0
outputs-concorde,115.out,912.0,1160.0,2072.0
outputs-concorde,116.out,228.0,240.0,468.0
outputs-concorde,117.out,321.0,602.0,923.0
outputs-concorde,118.out,675.0,1206.0,1881.0
outputs-concorde,119.out,144.0,300.0,444.0
outputs-concorde,12.out,11816.0,9297.0,21113.0
outputs-concorde,120.out,41560.0,515.0,42075.0
outputs-concorde,121.out,62764.0,1845.0,64609.0
outputs-concorde,122.out,764.0,516.0,1280.0
outputs-concorde,123.out,50.0,69.0,119.0
outputs-concorde,124.out,94.0,128.0,222.0
outputs-concorde,125.out,31.0,34.0,65.0
outputs-concorde,126.out,143.0,720.0,863.0
outputs-concorde,127.out,9598.0,5250.0,14848.0
outputs-concorde,128.out,1156.0,585.0,1741.0
outputs-concorde,129.out,4591.0,3122.0,7713.0
outputs-concorde,13.out,17808.0,10447.0,28255.0
outputs-concorde,130.out,18181.0,12236.0,30417.0
outputs-concorde,131.out,1171.0,813.0,1984.0
outputs-concorde,132.out,27601.17419,0.0002900000000000001,27601.17448
outputs-concorde,133.out,679.3377,0.0706999999999999,679.4084
outputs-concorde,134.out,8.060799999999999,8.0008,16.0616
outputs-concorde,135.out,104.0,49.0,153.0
outputs-concorde,136.out,33396873.0,35768800.0,69165673.0
outputs-concorde,137.out,436.0,41.0,477.0
outputs-concorde,138.out,598.0,314.0,912.0
outputs-concorde,139.out,1178.0,587.0,1765.0
outputs-concorde,14.out,9092.0,6535.0,15627.0
outputs-concorde,140.out,290.0,148.0,438.0
outputs-concorde,141.out,1940.0,1941.0,3881.0
outputs-concorde,142.out,4664.0,3541.0,8205.0
outputs-concorde,143.out,336.0,283.0,619.0
outputs-concorde,144.out,339.53999999999985,572.0,911.5399999999998
outputs-concorde,145.out,738.3200000000004,1048.0,1786.3200000000004
outputs-concorde,146.out,89.5,91.0,180.5
outputs-concorde,147.out,282.0,259.0,541.0
outputs-concorde,148.out,689.0,1405.0,2094.0
outputs-concorde,149.out,162.70000000000002,163.0,325.70000000000005
outputs-concorde,15.out,99.0,77.0,176.0
outputs-concorde,150.out,132.0,131.0,263.0
outputs-concorde,151.out,141.0,78.0,219.0
outputs-concorde,152.out,77.0,83.0,160.0
outputs-concorde,153.out,81012.0,54000096.0,54081108.0
outputs-concorde,154.out,180008.0,120000204.0,120180212.0
outputs-concorde,155.out,45010.0,30000055.0,30045065.0
outputs-concorde,156.out,18.0,220048.0,220066.0
outputs-concorde,157.out,17.0,189064.0,189081.0
outputs-concorde,158.out,11.0,114394.0,114405.0
outputs-concorde,159.out,518.0,11724.0,12242.0
outputs-concorde,16.out,251.0,210.0,461.0
outputs-concorde,160.out,1134.0,29108.0,30242.0
outputs-concorde,161.out,332.0,6233.0,6565.0
outputs-concorde,162.out,1615.9907,398.6127000000002,2014.6034000000002
outputs-concorde,163.out,2949.3283999999985,743.2295999999997,3692.557999999998
outputs-concorde,164.out,711.5266000000006,197.28070000000002,908.8073000000006
