output_dir,output_filename,travel_cost,conquer_cost,cost
outputs-dijkstra-degree-greedy,0.out,28.0,40.0,68.0
outputs-dijkstra-degree-greedy,1.out,194.0,52.0,246.0
outputs-dijkstra-degree-greedy,10.out,250.80000000000013,281.30999999999995,532.1100000000001
outputs-dijkstra-degree-greedy,100.out,403864.0,27704.0,431568.0
outputs-dijkstra-degree-greedy,101.out,324.0,1.0,325.0
outputs-dijkstra-degree-greedy,105.out,17890942.62019999,18005651.412,35896594.032199994
outputs-dijkstra-degree-greedy,106.out,35913248.5964,35236173.3979,71149421.99430001
outputs-dijkstra-degree-greedy,107.out,9289110.553299997,6615766.106500001,15904876.659799997
outputs-dijkstra-degree-greedy,108.out,10379.993540000001,2278.12001,12658.113550000002
outputs-dijkstra-degree-greedy,109.out,9850.709240000002,1758.5434799999998,11609.252720000002
outputs-dijkstra-degree-greedy,11.out,141.03999999999996,102.88999999999999,243.92999999999995
outputs-dijkstra-degree-greedy,110.out,8089.34874,1990.6956400000004,10080.044380000001
outputs-dijkstra-degree-greedy,111.out,1372.0,518.0,1890.0
outputs-dijkstra-degree-greedy,112.out,2764.0,1050.0,3814.0
outputs-dijkstra-degree-greedy,113.out,676.0,252.0,928.0
outputs-dijkstra-degree-greedy,114.out,588.0,580.0,1168.0
outputs-dijkstra-degree-greedy,115.out,1168.0,1160.0,2328.0
outputs-dijkstra-degree-greedy,116.out,294.0,240.0,534.0
outputs-dijkstra-degree-greedy,117.out,375.0,602.0,977.0
outputs-dijkstra-degree-greedy,118.out,775.0,1206.0,1981.0
outputs-dijkstra-degree-greedy,119.out,176.0,300.0,476.0
outputs-dijkstra-degree-greedy,12.out,11816.0,9297.0,21113.0
outputs-dijkstra-degree-greedy,120.out,41890.0,515.0,42405.0
outputs-dijkstra-degree-greedy,121.out,63248.0,1845.0,65093.0
outputs-dijkstra-degree-greedy,122.out,786.0,516.0,1302.0
outputs-dijkstra-degree-greedy,123.out,82.0,69.0,151.0
