output_dir,output_filename,travel_cost,conquer_cost,cost,
outputs-dijsktra-greedy,0.out,66.0,41.0,107.0,
outputs-dijsktra-greedy,1.out,194.0,52.0,246.0,
outputs-dijsktra-greedy,10.out,305.6200000000001,351.8499999999999,657.47,
outputs-dijsktra-greedy,100.out,403864.0,27704.0,431568.0,
outputs-dijsktra-greedy,101.out,324.0,1.0,325.0,
outputs-dijsktra-greedy,105.out,24158376.318599995,14897484.1135,39055860.4321,
outputs-dijsktra-greedy,106.out,44661796.232999995,29717543.2778,74379339.5108,
outputs-dijsktra-greedy,107.out,12333267.984,6447507.915,18780775.899,
outputs-dijsktra-greedy,108.out,13308.110499999999,3376.0540000000005,16684.1645,
outputs-dijsktra-greedy,109.out,10799.830800000002,1880.6632800000002,12680.494080000002,
outputs-dijsktra-greedy,11.out,155.33999999999995,125.14000000000001,280.47999999999996,
outputs-dijsktra-greedy,110.out,8205.55712,2220.38207,10425.93919,
outputs-dijsktra-greedy,111.out,1452.0,670.0,2122.0,
outputs-dijsktra-greedy,112.out,2924.0,1340.0,4264.0,
outputs-dijsktra-greedy,113.out,716.0,335.0,1051.0,
outputs-dijsktra-greedy,114.out,612.0,660.0,1272.0,
outputs-dijsktra-greedy,115.out,1224.0,1320.0,2544.0,
outputs-dijsktra-greedy,116.out,306.0,330.0,636.0,
outputs-dijsktra-greedy,117.out,376.0,520.0,896.0,
outputs-dijsktra-greedy,118.out,776.0,1040.0,1816.0,
outputs-dijsktra-greedy,119.out,176.0,260.0,436.0,
outputs-dijsktra-greedy,12.out,22572.0,16814.0,39386.0,
outputs-dijsktra-greedy,120.out,41890.0,515.0,42405.0,
outputs-dijsktra-greedy,121.out,63300.0,1171.0,64471.0,
outputs-dijsktra-greedy,122.out,810.0,452.0,1262.0,
outputs-dijsktra-greedy,123.out,96.0,58.0,154.0,
outputs-dijsktra-greedy,124.out,194.0,116.0,310.0,
outputs-dijsktra-greedy,125.out,56.0,45.0,101.0,
outputs-dijsktra-greedy,126.out,306.0,600.0,906.0,
outputs-dijsktra-greedy,127.out,14698.0,1250.0,15948.0,
outputs-dijsktra-greedy,128.out,1706.0,450.0,2156.0,
outputs-dijsktra-greedy,129.out,8618.0,4168.0,12786.0,
outputs-dijsktra-greedy,13.out,39812.0,20727.0,60539.0,
outputs-dijsktra-greedy,130.out,35514.0,16849.0,52363.0,
outputs-dijsktra-greedy,131.out,2128.0,1039.0,3167.0,
outputs-dijsktra-greedy,132.out,43501.175760000006,0.0002900000000000001,43501.17605000001,
outputs-dijsktra-greedy,133.out,1132.5453799999993,0.0706999999999999,1132.6160799999993,
outputs-dijsktra-greedy,134.out,14.001399999999999,8.0008,22.0022,
outputs-dijsktra-greedy,135.out,128.0,49.0,177.0,
outputs-dijsktra-greedy,136.out,66414994.0,35968647.0,102383641.0,
outputs-dijsktra-greedy,137.out,356.0,179.0,535.0,
outputs-dijsktra-greedy,138.out,598.0,314.0,912.0,
outputs-dijsktra-greedy,139.out,1178.0,587.0,1765.0,
outputs-dijsktra-greedy,14.out,11216.0,7137.0,18353.0,
outputs-dijsktra-greedy,140.out,290.0,148.0,438.0,
outputs-dijsktra-greedy,141.out,3544.0,2290.0,5834.0,
outputs-dijsktra-greedy,142.out,8022.0,3823.0,11845.0,
outputs-dijsktra-greedy,143.out,592.0,259.0,851.0,
outputs-dijsktra-greedy,144.out,600.2799999999999,475.0,1075.2799999999997,
outputs-dijsktra-greedy,145.out,1141.1200000000006,837.0,1978.1200000000006,
outputs-dijsktra-greedy,146.out,149.0,65.0,214.0,
outputs-dijsktra-greedy,147.out,487.4,285.0,772.4,
outputs-dijsktra-greedy,148.out,1340.0,1971.0,3311.0,
outputs-dijsktra-greedy,149.out,247.79999999999993,155.0,402.79999999999995,
outputs-dijsktra-greedy,15.out,142.0,78.0,220.0,
outputs-dijsktra-greedy,150.out,182.0,116.0,298.0,
outputs-dijsktra-greedy,151.out,180.0,96.0,276.0,
outputs-dijsktra-greedy,152.out,124.0,93.0,217.0,
outputs-dijsktra-greedy,153.out,108052.0,54000108.0,54108160.0,
outputs-dijsktra-greedy,154.out,240078.0,120000220.0,120240298.0,
outputs-dijsktra-greedy,155.out,60018.0,30000055.0,30060073.0,
outputs-dijsktra-greedy,156.out,44.0,302807.0,302851.0,
outputs-dijsktra-greedy,157.out,30.0,173498.0,173528.0,
outputs-dijsktra-greedy,158.out,30.0,161666.0,161696.0,
outputs-dijsktra-greedy,159.out,874.0,10176.0,11050.0,
outputs-dijsktra-greedy,16.out,348.0,181.0,529.0,
outputs-dijsktra-greedy,160.out,2616.0,30524.0,33140.0,
outputs-dijsktra-greedy,161.out,666.0,7349.0,8015.0,
outputs-dijsktra-greedy,162.out,1626.8349999999994,342.6928000000001,1969.5277999999994,
outputs-dijsktra-greedy,163.out,2994.6403999999984,688.1171999999997,3682.757599999998,
outputs-dijsktra-greedy,164.out,773.2421999999999,188.32770000000002,961.5699,
outputs-dijsktra-greedy,165.out,269404.30000000005,2363.0,271767.30000000005,
outputs-dijsktra-greedy,166.out,92286.29999999999,2703.0,94989.29999999999,
outputs-dijsktra-greedy,167.out,832.0,441.0,1273.0,
outputs-dijsktra-greedy,168.out,78.0,86.0,164.0,
outputs-dijsktra-greedy,169.out,78.0,86.0,164.0,
outputs-dijsktra-greedy,17.out,62.0,35.0,97.0,
outputs-dijsktra-greedy,170.out,78.0,86.0,164.0,
outputs-dijsktra-greedy,171.out,38.0,55.0,93.0,
outputs-dijsktra-greedy,172.out,38.0,55.0,93.0,
outputs-dijsktra-greedy,173.out,38.0,55.0,93.0,
outputs-dijsktra-greedy,174.out,258.0,199.0,457.0,
outputs-dijsktra-greedy,175.out,0,1.0,1.0,
outputs-dijsktra-greedy,176.out,296.0,318.0,614.0,
outputs-dijsktra-greedy,177.out,19352.224199999997,3099.3663,22451.5905,
outputs-dijsktra-greedy,178.out,18329.7602,1562.1981,19891.958300000002,
outputs-dijsktra-greedy,179.out,9775.550799999999,2763.8565,12539.407299999999,
outputs-dijsktra-greedy,18.out,23800.0,5550.0,29350.0,
outputs-dijsktra-greedy,180.out,3098.0,1613.0,4711.0,
outputs-dijsktra-greedy,181.out,5730.0,3071.0,8801.0,
outputs-dijsktra-greedy,182.out,1468.0,617.0,2085.0,
outputs-dijsktra-greedy,183.out,3144.0,226.0,3370.0,
outputs-dijsktra-greedy,184.out,7078.0,529.0,7607.0,
outputs-dijsktra-greedy,185.out,1338.0,137.0,1475.0,
outputs-dijsktra-greedy,186.out,3650.0,2062.0,5712.0,
outputs-dijsktra-greedy,187.out,7320.0,4224.0,11544.0,
outputs-dijsktra-greedy,188.out,520.0,875.0,1395.0,
outputs-dijsktra-greedy,189.out,17534.00093999999,48.0,17582.00093999999,
outputs-dijsktra-greedy,19.out,40600.0,9750.0,50350.0,
outputs-dijsktra-greedy,190.out,37544.3484,100.0,37644.3484,
outputs-dijsktra-greedy,191.out,520.46584,15.44904,535.9148799999999,
outputs-dijsktra-greedy,192.out,738.0,195.0,933.0,
outputs-dijsktra-greedy,193.out,1203.8000000000004,353.0,1556.8000000000004,
outputs-dijsktra-greedy,194.out,470.0,2025.0,2495.0,
outputs-dijsktra-greedy,195.out,0.04,999999999.97,1000000000.01,
outputs-dijsktra-greedy,196.out,179.09999999999928,19.900000000000013,198.9999999999993,
outputs-dijsktra-greedy,197.out,348.0,209.0,557.0,
outputs-dijsktra-greedy,198.out,23766.0,45592.0,69358.0,
outputs-dijsktra-greedy,199.out,5438.0,2495.0,7933.0,
outputs-dijsktra-greedy,2.out,40.0,11.0,51.0,
outputs-dijsktra-greedy,20.out,15400.0,3450.0,18850.0,
outputs-dijsktra-greedy,200.out,42.0,18.0,60.0,
outputs-dijsktra-greedy,201.out,1692.0,3974.0,5666.0,
outputs-dijsktra-greedy,202.out,35694.0,133977.0,169671.0,
outputs-dijsktra-greedy,203.out,846.0,1990.0,2836.0,
outputs-dijsktra-greedy,204.out,808.0,483.0,1291.0,
