output_dir,output_filename,travel_cost,conquer_cost,cost
outputs,0.out,16.0,51.0,67.0
outputs,1.out,194.0,52.0,246.0
outputs,10.out,305.6200000000001,351.8499999999999,657.47
outputs,100.out,403864.0,27704.0,431568.0
outputs,101.out,324.0,1.0,325.0
outputs,105.out,24158376.318599995,14897484.1135,39055860.4321
outputs,106.out,44661796.232999995,29717543.2778,74379339.5108
outputs,107.out,12333267.984,6447507.915,18780775.899
outputs,108.out,13308.110499999999,3376.0540000000005,16684.1645
outputs,109.out,10799.830800000002,1880.6632800000002,12680.494080000002
outputs,11.out,155.33999999999995,125.14000000000001,280.47999999999996
outputs,110.out,8205.55712,2220.38207,10425.93919
outputs,111.out,1452.0,670.0,2122.0
outputs,112.out,2924.0,1340.0,4264.0
outputs,113.out,716.0,335.0,1051.0
outputs,114.out,612.0,660.0,1272.0
outputs,115.out,1224.0,1320.0,2544.0
outputs,116.out,306.0,330.0,636.0
outputs,117.out,376.0,520.0,896.0
outputs,118.out,776.0,1040.0,1816.0
outputs,119.out,176.0,260.0,436.0
outputs,12.out,22572.0,16814.0,39386.0
outputs,120.out,41890.0,515.0,42405.0
outputs,121.out,63300.0,1171.0,64471.0
outputs,122.out,810.0,452.0,1262.0
outputs,123.out,96.0,58.0,154.0
outputs,124.out,194.0,116.0,310.0
outputs,125.out,56.0,45.0,101.0
outputs,126.out,306.0,600.0,906.0
outputs,127.out,14698.0,1250.0,15948.0
outputs,128.out,1706.0,450.0,2156.0
outputs,129.out,8618.0,4168.0,12786.0
outputs,13.out,39812.0,20727.0,60539.0
outputs,130.out,35514.0,16849.0,52363.0
outputs,131.out,2128.0,1039.0,3167.0
outputs,132.out,43501.175760000006,0.0002900000000000001,43501.17605000001
outputs,133.out,1132.5453799999993,0.0706999999999999,1132.6160799999993
outputs,134.out,14.001399999999999,8.0008,22.0022
outputs,135.out,128.0,49.0,177.0
outputs,136.out,66414994.0,35968647.0,102383641.0
outputs,137.out,356.0,179.0,535.0
outputs,138.out,598.0,314.0,912.0
outputs,139.out,1178.0,587.0,1765.0
